Latitude/Longitude,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,24.5,-107.5,1,nearest_place,,,,,"Campo Esperanza",SIN,,80300,MX,"Various sources"
24.5,24.5,-106.5,1,nearest_place,,,,,"La Higuera Hueca",DUR,,34595,MX,"Various sources"
24.5,24.5,-105.5,1,nearest_place,,,,,"Rancho Viejo",DUR,,34683,MX,"Various sources"
24.5,24.5,-104.5,1,nearest_place,,,,,"Francisco Javier Mina (Corralejo)",DUR,,34794,MX,"Various sources"
24.5,24.5,-103.5,1,nearest_place,,,,,"Paulino Bonilla",DUR,,35895,MX,"Various sources"
24.5,24.5,-102.5,1,nearest_place,,,,,"El Floreño",DUR,,35947,MX,"Various sources"
24.5,24.5,-101.5,1,nearest_place,,,,,"San Jose de Carbonerillas",ZAC,,98237,MX,"Various sources"
24.5,24.5,-100.5,1,nearest_place,,,,,"San Jose de Gonzalez",NLE,,67876,MX,"Various sources"
24.5,24.5,-99.5,1,nearest_place,,,,,Villagran,TAM,,87880,MX,"Various sources"
24.5,24.5,-98.5,1,nearest_place,,,,,"Los 3 Palos",TAM,,87650,MX,"Various sources"
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,24.5,-81.5,1,nearest_place,,,,,"Sugarloaf Shores",FL,,33044,US,"TIGER/Line® dataset from the US Census Bureau"
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
24.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,25.5,-111.5,1,nearest_place,,,,,"La Engañosa",BCS,,23896,MX,"Various sources"
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,25.5,-108.5,1,nearest_place,,,,,"El Dorado",SIN,,81101,MX,"Various sources"
25.5,25.5,-107.5,1,nearest_place,,,,,"La Lapara",SIN,,80679,MX,"Various sources"
25.5,25.5,-106.5,1,nearest_place,,,,,"La Joya del Venado",DUR,,35630,MX,"Various sources"
25.5,25.5,-105.5,1,nearest_place,,,,,"El Salto",DUR,,35674,MX,"Various sources"
25.5,25.5,-104.5,1,nearest_place,,,,,"Boquilla de Gerardo",DUR,,35573,MX,"Various sources"
25.5,25.5,-103.5,1,nearest_place,,,,,"Ciudad Lerdo",DUR,,35163,MX,"Various sources"
25.5,25.5,-102.5,1,nearest_place,,,,,"Boquillas del Refugio",COA,,27990,MX,"Various sources"
25.5,25.5,-101.5,1,nearest_place,,,,,"Piedras de Lumbre",COA,,25967,MX,"Various sources"
25.5,25.5,-100.5,1,nearest_place,,,,,"Ciudad Santa Catarina",NLE,,66129,MX,"Various sources"
25.5,25.5,-99.5,1,nearest_place,,,,,"Las Enramadas",NLE,,66847,MX,"Various sources"
25.5,25.5,-98.5,1,nearest_place,,,,,"Francisco Villa",TAM,,88780,MX,"Various sources"
25.5,25.5,-97.5,1,nearest_place,,,,,"Heroica Matamoros",TAM,,87395,MX,"Various sources"
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,25.499528,-80.499665,0.99,rooftop,18995,"SW 288th St",,,Homestead,FL,"Miami-Dade County",33030,US,"Public Domain Miami-Dade County"
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
25.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,26.5,-112.5,1,nearest_place,,,,,Cadeje,BCS,,23811,MX,"Various sources"
26.5,26.5,-111.5,1,nearest_place,,,,,"San Nicolás",BCS,,23887,MX,"Various sources"
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,26.5,-108.5,1,nearest_place,,,,,"El Carricito",SIN,,81893,MX,"Various sources"
26.5,26.5,-107.5,1,nearest_place,,,,,"El Barril",CHH,,33488,MX,"Various sources"
26.5,26.5,-106.5,1,nearest_place,,,,,"La Mesa del Águila",CHH,,33573,MX,"Various sources"
26.5,26.5,-105.5,1,nearest_place,,,,,"Independencia y Reforma",CHH,,33969,MX,"Various sources"
26.5,26.5,-104.5,1,nearest_place,,,,,"San Bernardo",CHH,,33977,MX,"Various sources"
26.5,26.5,-103.5,1,nearest_place,,,,,"Las Margaritas",DUR,,35253,MX,"Various sources"
26.5,26.5,-102.5,1,nearest_place,,,,,"Santa Teresa de Sofía",COA,,27689,MX,"Various sources"
26.5,26.5,-101.5,1,nearest_place,,,,,"Valle Bocatoche",COA,,25898,MX,"Various sources"
26.5,26.5,-100.5,1,nearest_place,,,,,"El Valladito",NLE,,65150,MX,"Various sources"
26.5,26.5,-99.5,1,nearest_place,,,,,Parás,NLE,,65450,MX,"Various sources"
26.5,26.514811,-98.503799,0.24,nearest_street,99,"Lopez Cir",,,"Santa Elena",TX,"Starr County",78591,US,"TIGER/Line® dataset from the US Census Bureau"
26.5,26.5,-97.5,1,nearest_place,,,,,"Port Mansfield",TX,"Willacy County",78598,US,"TIGER/Line® dataset from the US Census Bureau"
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,26.504279,-81.508066,0.31,nearest_street,6900,"Immokalee Rd",,,Immokalee,FL,"Collier County",34142,US,"TIGER/Line® dataset from the US Census Bureau"
26.5,26.5,-80.5,1,nearest_place,,,,,"West Palm Beach",FL,"Palm Beach County",33402,US,"TIGER/Line® dataset from the US Census Bureau"
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
26.5,0,0,0,,,,,,,,,,,
